nuts2_id,year,country
BE34,2004,BE
BE34,2005,BE
BE34,2006,BE
BE34,2007,BE
BE34,2008,BE
BE34,2009,BE
BE34,2010,BE
BE34,2011,BE
BE34,2012,BE
BE34,2013,BE
BE34,2014,BE
BE34,2015,BE
BE34,2016,BE
BE34,2017,BE
BE34,2018,BE
BE34,2019,BE
BE34,2020,BE
BE34,2021,BE
BE34,2022,BE
BE34,2023,BE
BE34,2024,BE
BE34,2025,BE
BE35,1986,BE
BE35,1987,BE
BE35,1988,BE
BE35,1989,BE
BE35,1990,BE
BE35,1991,BE
BE35,1992,BE
BE35,1993,BE
BE35,1994,BE
BE35,1995,BE
BE35,1996,BE
BE35,1997,BE
BE35,1998,BE
BE35,1999,BE
BE35,2000,BE
BE35,2001,BE
BE35,2002,BE
BE35,2003,BE
BE35,2004,BE
BE35,2005,BE
BE35,2006,BE
BE35,2007,BE
BE35,2008,BE
BE35,2009,BE
BE35,2010,BE
BE35,2011,BE
BE35,2012,BE
BE35,2013,BE
BE35,2014,BE
BE35,2015,BE
BE35,2016,BE
BE35,2017,BE
BE35,2018,BE
BE35,2019,BE
BE35,2020,BE
BE35,2021,BE
BE35,2022,BE
BE35,2023,BE
BE35,2024,BE
BE35,2025,BE
BG31,1986,BG
BG31,1987,BG
BG31,1988,BG
BG31,1989,BG
BG31,1990,BG
BG31,1991,BG
BG31,1992,BG
BG31,1993,BG
BG31,1994,BG
BG31,1995,BG
BG31,1996,BG
BG31,1997,BG
BG31,1998,BG
BG31,1999,BG
BG31,2000,BG
BG31,2001,BG
BG31,2002,BG
BG31,2003,BG
BG31,2004,BG
BG31,2005,BG
BG31,2006,BG
BG31,2007,BG
BG31,2008,BG
BG31,2009,BG
BG31,2010,BG
BG31,2011,BG
BG31,2012,BG
BG31,2013,BG
BG31,2014,BG
BG31,2015,BG
BG31,2016,BG
BG31,2017,BG
BG31,2018,BG
BG31,2019,BG
BG31,2020,BG
BG31,2021,BG
BG31,2022,BG
BG31,2023,BG
BG31,2024,BG
BG31,2025,BG
BG32,1986,BG
BG32,1987,BG
BG32,1988,BG
BG32,1989,BG
BG32,1990,BG
BG32,1991,BG
BG32,1992,BG
BG32,1993,BG
BG32,1994,BG
BG32,1995,BG
BG32,1996,BG
BG32,1997,BG
BG32,1998,BG
BG32,1999,BG
BG32,2000,BG
BG32,2001,BG
BG32,2002,BG
BG32,2003,BG
BG32,2004,BG
BG32,2005,BG
BG32,2006,BG
BG32,2007,BG
BG32,2008,BG
BG32,2009,BG
BG32,2010,BG
BG32,2011,BG
BG32,2012,BG
BG32,2013,BG
BG32,2014,BG
BG32,2015,BG
BG32,2016,BG
BG32,2017,BG
BG32,2018,BG
BG32,2019,BG
BG32,2020,BG
BG32,2021,BG
BG32,2022,BG
BG32,2023,BG
BG32,2024,BG
BG32,2025,BG
BG33,1986,BG
BG33,1987,BG
BG33,1988,BG
BG33,1989,BG
BG33,1990,BG
BG33,1991,BG
BG33,1992,BG
BG33,1993,BG
BG33,1994,BG
BG33,1995,BG
BG33,1996,BG
BG33,1997,BG
BG33,1998,BG
BG33,1999,BG
BG33,2000,BG
BG33,2001,BG
BG33,2002,BG
BG33,2003,BG
BG33,2004,BG
BG33,2005,BG
BG33,2006,BG
BG33,2007,BG
BG33,2008,BG
BG33,2009,BG
BG33,2010,BG
BG33,2011,BG
BG33,2012,BG
