nuts2_id,year,unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva
CH03,2024,4.3,80.4,46.1,,
CH04,2013,4.4,80.4,45.1,,
CH04,2014,4.1,81.2,45.8,,
CH04,2015,4.1,81.7,48.4,,
CH04,2016,3.9,82.2,50.8,,
CH04,2017,4.5,81.5,51.6,,
CH04,2018,4.3,82,52.4,,
CH04,2019,4,82.7,54.3,,
CH04,2020,4.3,82.3,55.9,,
CH04,2021,4.7,81.7,55.6,,
CH04,2022,3.7,82,55.2,,
CH04,2023,3.4,83.3,56.8,,
CH04,2024,3.8,82.4,57.5,,
CH05,2013,3.9,80.6,31.4,,
CH05,2014,3.5,81.7,33.2,,
CH05,2015,4,81.5,34.2,,
CH05,2016,4,81.8,35.2,,
CH05,2017,3.8,82.4,36.4,,
CH05,2018,3.6,83,38.2,,
CH05,2019,3.5,82.8,39.1,,
CH05,2020,3.9,82.8,40.1,,
CH05,2021,4,82.7,39.6,,
CH05,2022,3,83.2,39.2,,
CH05,2023,3.1,83.7,40.1,,
CH05,2024,2.8,83.9,39.7,,
CH06,2013,2.9,82.9,35.5,,
CH06,2014,3.7,83.1,36.5,,
CH06,2015,3.4,83.4,37.6,,
CH06,2016,3.4,84.2,41.9,,
CH06,2017,2.9,83.5,43.3,,
CH06,2018,2.9,84,44.3,,
CH06,2019,2.7,85.4,42.9,,
CH06,2020,2.9,85.1,43.8,,
CH06,2021,3.2,84,44.6,,
CH06,2022,2.3,85.3,44.1,,
CH06,2023,2.7,85.1,45.7,,
CH06,2024,2.5,85.4,47.1,,
CH07,2013,7.8,69.4,31.3,,
CH07,2014,7.2,69.3,33.2,,
CH07,2015,6.9,70.8,36.8,,
CH07,2016,6.9,71.9,35.8,,
CH07,2017,6.1,73.6,38,,
CH07,2018,6.7,71.9,41.1,,
CH07,2019,6.9,71.3,40,,
CH07,2020,6.6,70.6,40.6,,
CH07,2021,8,70.8,39.2,,
CH07,2022,6.1,71.3,39.5,,
CH07,2023,6.5,71,41.9,,
CH07,2024,6.7,70.5,43.1,,
CY00,2013,15.9,61.7,39.3,0.48,
CY00,2014,16.1,62.1,40.3,0.51,96.8
CY00,2015,15,62.7,40.5,0.48,100
CY00,2016,13,63.7,41.9,0.52,106.6
CY00,2017,11.1,65.6,42.5,0.54,112.7
CY00,2018,8.4,68.6,44.1,0.61,119.9
CY00,2019,7.2,71.4,44.6,0.7,127.2
CY00,2020,7.6,70.9,45,0.83,123.2
CY00,2021,7.2,72,47,0.83,137.2
CY00,2022,6.3,74.1,48,0.7,147.3
CY00,2023,5.8,75.2,50.7,0.68,151.2
CY00,2024,4.9,75.5,51.4,0.65,
CZ01,2013,3.1,73.7,38.4,2.4,
CZ01,2014,2.5,74.8,40.3,2.58,95.2
CZ01,2015,2.8,74.2,40.5,2.68,100
CZ01,2016,2.2,76,43.3,2.15,102.8
CZ01,2017,1.7,78.2,45.6,2.35,107.6
CZ01,2018,1.3,79.6,46.4,2.49,112.8
CZ01,2019,1.3,79.3,45.5,2.54,116.9
CZ01,2020,2.3,77.6,45.9,2.79,111.5
CZ01,2021,2.3,77.6,49.8,2.83,118.5
CZ01,2022,1.6,78.9,51.5,2.65,123.1
CZ01,2023,2.1,78.2,53.2,2.69,121
CZ01,2024,1.8,78.5,52.5,,
CZ02,2013,5.2,70,19.9,2.15,
CZ02,2014,5.1,70.7,21.7,2.04,95.1
CZ02,2015,3.5,72.6,21.6,1.93,100
CZ02,2016,3.1,73.1,21.4,2.03,105.4
CZ02,2017,2.1,75,21.9,2.43,113.1
CZ02,2018,2,76.2,23.6,2.66,116.1
CZ02,2019,1.3,77.1,23.2,2.44,125.4
CZ02,2020,1.9,76.4,24.2,2.27,115.1
CZ02,2021,2.5,75.9,25.6,2.28,118.8
CZ02,2022,1.2,77,24.9,2.12,125.8
CZ02,2023,1.7,75.5,25.1,2.04,128.3
CZ02,2024,1.3,76,23.2,,
CZ03,2013,5.2,69,18,1.61,
CZ03,2014,5.5,70.1,17.6,1.67,96.7
CZ03,2015,3.9,71.8,18.7,1.6,100
CZ03,2016,3.1,72.9,19.1,1.34,101.9
CZ03,2017,2.1,74.3,20,1.3,108.3
CZ03,2018,1.5,75.2,20.1,1.48,111
CZ03,2019,1.5,75.4,20.3,1.58,113.8
CZ03,2020,2,74.7,19.8,1.48,108.3
CZ03,2021,2.4,75.6,21.6,1.57,111.6
CZ03,2022,1.7,76.5,21.7,1.51,113.8
CZ03,2023,1.9,75.7,24.1,1.39,115.4
CZ03,2024,2.3,76.6,24.1,,
CZ04,2013,9.6,64.4,12.5,0.37,
CZ04,2014,8.7,65.5,14.3,0.41,95.3
CZ04,2015,7.3,66.6,13.4,0.36,100
CZ04,2016,5.2,69.5,14.2,0.29,99.6
CZ04,2017,3.4,71.2,14.3,0.3,101.7
CZ04,2018,3.4,71.8,13.9,0.34,101.2
CZ04,2019,3,72.4,15.2,0.4,105.1
CZ04,2020,4,72,13.7,0.41,97.6
CZ04,2021,4.3,71.8,15.1,0.38,99.5
CZ04,2022,3.3,73.1,15.6,0.36,101.7
CZ04,2023,4.1,73.4,16.7,0.44,100.9
CZ04,2024,4.1,72.9,17.3,,
CZ05,2013,8.3,66.7,16.8,1.46,
CZ05,2014,6.4,68.7,17.9,1.48,95.6
CZ05,2015,5.2,70.3,18.2,1.34,100
CZ05,2016,4,72.1,18.9,1.26,103.3
CZ05,2017,2.8,73.2,20.3,1.3,111
CZ05,2018,2,74.1,20.6,1.44,113.8
CZ05,2019,1.7,74.8,20.1,1.45,117.4
CZ05,2020,2.3,74.2,20.5,1.42,113.2
CZ05,2021,2.4,74.2,20.9,1.38,113.9
CZ05,2022,2.2,74.8,22.9,1.29,117.4
